SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status,accepted_kew_id,accepted_name,reviewed
AY674637.1,Tetrastigma hypoglaucum,289690,genomic DNA,1724,Tetrastigma hypoglaucum,68479-1,Vitaceae,Tetrastigma,hypoglaucum,,Tetrastigma hypoglaucum,SPECIES,Accepted,,,
AY674638.1,Thryallis longifolia,176648,genomic DNA,1676,Thryallis longifolia,557826-1,Malpighiaceae,Thryallis,longifolia,,Thryallis longifolia,SPECIES,Accepted,,,
AY674639.1,Vantanea guianensis,58849,genomic DNA,1688,Vantanea guianensis,431524-1,Humiriaceae,Vantanea,guianensis,,Vantanea guianensis,SPECIES,Accepted,,,
AY674640.1,Vismia sp. Miller et al. 9313,289691,genomic DNA,1702,Vismia sp. Miller et al. 9313,19867-1,Hypericaceae,Vismia,sp.,,Vismia sp.,GENUS,Accepted,,,
AY679156.1,Taxus chinensis,29808,genomic DNA,1833,Taxus chinensis,1148780-2,Taxaceae,Taxus,chinensis,,Taxus chinensis,SPECIES,Accepted,,,
AY679157.1,Taxus mairei,120273,genomic DNA,1822,Taxus mairei,828365-1,Taxaceae,Taxus,mairei,,Taxus mairei,SPECIES,Accepted,,,
AY739080.1,Pavonia spinifex,301890,genomic DNA,1708,Pavonia spinifex,186083-2,Malvaceae,Pavonia,spinifex,,Pavonia spinifex,SPECIES,Accepted,,,
AY739083.1,Rafflesia pricei,59778,genomic DNA,1691,Rafflesia pricei,905077-1,Rafflesiaceae,Rafflesia,pricei,,Rafflesia pricei,SPECIES,Accepted,,,
AY739084.1,Rafflesia keithii,29758,genomic DNA,1744,Rafflesia keithii,905074-1,Rafflesiaceae,Rafflesia,keithii,,Rafflesia keithii,SPECIES,Accepted,,,
AY739085.1,Rafflesia tuan-mudae,301895,genomic DNA,1744,Rafflesia tuan-mudae,316080-1,Rafflesiaceae,Rafflesia,tuan-mudae,,Rafflesia tuan-mudae,SPECIES,Accepted,,,
AY739086.1,Sapria himalayana,289637,genomic DNA,1741,Sapria himalayana,316082-1,Rafflesiaceae,Sapria,himalayana,,Sapria himalayana,SPECIES,Accepted,,,
AY739087.1,Sapria poilanei,301893,genomic DNA,1621,Sapria poilanei,707094-1,Rafflesiaceae,Sapria,poilanei,,Sapria poilanei,SPECIES,Accepted,,,
AY739088.1,Sapria ram,301894,genomic DNA,1669,Sapria ram,1000395-1,Rafflesiaceae,Sapria,ram,,Sapria ram,SPECIES,Accepted,,,
AY739089.1,Bdallophytum americanum,51505,genomic DNA,1739,Bdallophytum americanum,30215-2,Cytinaceae,Bdallophytum,americanum,,Bdallophytum americanum,SPECIES,Accepted,,,
AY739090.1,Mitrastemon yamamotoi,51498,genomic DNA,1734,Mitrastemon yamamotoi,581721-1,Mitrastemonaceae,Mitrastemon,yamamotoi,,Mitrastemon yamamotoi,SPECIES,Accepted,,,
AY739091.1,Cytinus sp. 4339,301897,genomic DNA,1670,Cytinus sp. 4339,331539-2,Cytinaceae,Cytinus,sp.,,Cytinus sp.,GENUS,Accepted,,,
AY739092.1,Cytinus hypocistis,327100,genomic DNA,1670,Cytinus hypocistis,316032-1,Cytinaceae,Cytinus,hypocistis,,Cytinus hypocistis,SPECIES,Accepted,,,
AY755660.1,Gnetum gnemon,3382,genomic DNA,1691,Gnetum gnemon,383520-1,Gnetaceae,Gnetum,gnemon,,Gnetum gnemon,SPECIES,Accepted,,,
AY755661.1,Gnetum costatum,174662,genomic DNA,1691,Gnetum costatum,383510-1,Gnetaceae,Gnetum,costatum,,Gnetum costatum,SPECIES,Accepted,,,
AY755662.1,Gnetum parvifolium,33153,genomic DNA,1690,Gnetum parvifolium,383557-1,Gnetaceae,Gnetum,parvifolium,,Gnetum parvifolium,SPECIES,Accepted,,,
AY755663.1,Gnetum indicum,174661,genomic DNA,1689,Gnetum indicum,383557-1,Gnetaceae,Gnetum,parvifolium,,Gnetum parvifolium,SPECIES,Synonym,,,
AY755664.1,Gnetum montanum,3381,genomic DNA,1690,Gnetum montanum,383546-1,Gnetaceae,Gnetum,montanum,,Gnetum montanum,SPECIES,Accepted,,,
AY755665.1,Ephedra likiangensis,257426,genomic DNA,1688,Ephedra likiangensis,383413-1,Ephedraceae,Ephedra,likiangensis,,Ephedra likiangensis,SPECIES,Accepted,,,
AY755666.1,Ephedra equisetina,173280,genomic DNA,1689,Ephedra equisetina,928049-1,Ephedraceae,Ephedra,equisetina,,Ephedra equisetina,SPECIES,Accepted,,,
AY755667.1,Ephedra intermedia,173278,genomic DNA,1688,Ephedra intermedia,383409-1,Ephedraceae,Ephedra,intermedia,,Ephedra intermedia,SPECIES,Accepted,,,
AY755669.1,Ephedra frustillata,173277,genomic DNA,1689,Ephedra frustillata,383398-1,Ephedraceae,Ephedra,frustillata,,Ephedra frustillata,SPECIES,Accepted,,,
AY755671.1,Ephedra gerardiana,42328,genomic DNA,1688,Ephedra gerardiana,60470164-2,Ephedraceae,Ephedra,gerardiana,,Ephedra gerardiana,SPECIES,Accepted,,,
AY755672.1,Ephedra monosperma,173276,genomic DNA,1661,Ephedra monosperma,1008173-1,Ephedraceae,Ephedra,monosperma,,Ephedra monosperma,SPECIES,Accepted,,,
AY755673.1,Ephedra sinica,33152,genomic DNA,1688,Ephedra sinica,383460-1,Ephedraceae,Ephedra,sinica,,Ephedra sinica,SPECIES,Accepted,,,
AY755674.1,Ephedra frustillata,173277,genomic DNA,1689,Ephedra frustillata,383398-1,Ephedraceae,Ephedra,frustillata,,Ephedra frustillata,SPECIES,Accepted,,,
AY755675.1,Ephedra sinica,33152,genomic DNA,1688,Ephedra sinica,383460-1,Ephedraceae,Ephedra,sinica,,Ephedra sinica,SPECIES,Accepted,,,
AY755676.1,Ephedra californica,45090,genomic DNA,1688,Ephedra californica,383367-1,Ephedraceae,Ephedra,californica,,Ephedra californica,SPECIES,Accepted,,,
AY755677.1,Ephedra fragilis,50295,genomic DNA,1666,Ephedra fragilis,383397-1,Ephedraceae,Ephedra,fragilis,,Ephedra fragilis,SPECIES,Accepted,,,
AY755678.1,Ephedra gerardiana,42328,genomic DNA,1688,Ephedra gerardiana,60470164-2,Ephedraceae,Ephedra,gerardiana,,Ephedra gerardiana,SPECIES,Accepted,,,
AY755679.1,Ephedra chilensis,224737,genomic DNA,1689,Ephedra chilensis,329491-2,Ephedraceae,Ephedra,chilensis,,Ephedra chilensis,SPECIES,Accepted,,,
AY755680.1,Ephedra minuta,173279,genomic DNA,1689,Ephedra minuta,383425-1,Ephedraceae,Ephedra,minuta,,Ephedra minuta,SPECIES,Accepted,,,
AY755681.1,Ephedra minuta,173279,genomic DNA,1689,Ephedra minuta,383425-1,Ephedraceae,Ephedra,minuta,,Ephedra minuta,SPECIES,Accepted,,,
AY755682.1,Ephedra antisyphilitica,36014,genomic DNA,1688,Ephedra antisyphilitica,383355-1,Ephedraceae,Ephedra,antisyphilitica,,Ephedra antisyphilitica,SPECIES,Accepted,,,
AY755683.1,Ephedra intermedia,173278,genomic DNA,1688,Ephedra intermedia,383409-1,Ephedraceae,Ephedra,intermedia,,Ephedra intermedia,SPECIES,Accepted,,,
AY755684.1,Ephedra torreyana,45077,genomic DNA,1689,Ephedra torreyana,30155955-2,Ephedraceae,Ephedra,torreyana,,Ephedra torreyana,SPECIES,Accepted,,,
AY755685.1,Ephedra gerardiana,42328,genomic DNA,1688,Ephedra gerardiana,60470164-2,Ephedraceae,Ephedra,gerardiana,,Ephedra gerardiana,SPECIES,Accepted,,,
AY755686.1,Ephedra distachya,3389,genomic DNA,1688,Ephedra distachya,383381-1,Ephedraceae,Ephedra,distachya,,Ephedra distachya,SPECIES,Accepted,,,
AY755687.1,Ephedra trifurca,39583,genomic DNA,1688,Ephedra trifurca,383471-1,Ephedraceae,Ephedra,trifurca,,Ephedra trifurca,SPECIES,Accepted,,,
AY755688.1,Ephedra nevadensis,191310,genomic DNA,1689,Ephedra nevadensis,383434-1,Ephedraceae,Ephedra,nevadensis,,Ephedra nevadensis,SPECIES,Accepted,,,
AY755689.1,Ephedra rupestris,288829,genomic DNA,1688,Ephedra rupestris,312979-2,Ephedraceae,Ephedra,rupestris,,Ephedra rupestris,SPECIES,Accepted,,,
AY755690.1,Ephedra likiangensis,257426,genomic DNA,1688,Ephedra likiangensis,383413-1,Ephedraceae,Ephedra,likiangensis,,Ephedra likiangensis,SPECIES,Accepted,,,
AY755691.1,Ephedra chilensis,224737,genomic DNA,1646,Ephedra chilensis,329491-2,Ephedraceae,Ephedra,chilensis,,Ephedra chilensis,SPECIES,Accepted,,,
AY755695.1,Ephedra aphylla,191304,genomic DNA,1688,Ephedra aphylla,383356-1,Ephedraceae,Ephedra,aphylla,,Ephedra aphylla,SPECIES,Accepted,,,
AY755696.1,Ephedra altissima,3391,genomic DNA,1688,Ephedra altissima,60459745-2,Ephedraceae,Ephedra,altissima,,Ephedra altissima,SPECIES,Accepted,,,
AY755697.1,Ephedra altissima,3391,genomic DNA,1688,Ephedra altissima,60459745-2,Ephedraceae,Ephedra,altissima,,Ephedra altissima,SPECIES,Accepted,,,
AY755698.1,Ephedra alata,302006,genomic DNA,1688,Ephedra alata,383343-1,Ephedraceae,Ephedra,alata,,Ephedra alata,SPECIES,Accepted,,,
AY755699.1,Ephedra foliata,302007,genomic DNA,1688,Ephedra foliata,326016-1,Ephedraceae,Ephedra,foliata,,Ephedra foliata,SPECIES,Accepted,,,
AY755700.1,Ephedra ciliata,302008,genomic DNA,1688,Ephedra ciliata,326016-1,Ephedraceae,Ephedra,foliata,,Ephedra foliata,SPECIES,Synonym,,,
AY755701.1,Ephedra campylopoda,302009,genomic DNA,1688,Ephedra campylopoda,383392-1,Ephedraceae,Ephedra,foeminea,,Ephedra foeminea,SPECIES,Synonym,,,
AY755703.1,Ephedra pachyclada,289842,genomic DNA,1624,Ephedra pachyclada,383437-1,Ephedraceae,Ephedra,pachyclada,,Ephedra pachyclada,SPECIES,Accepted,,,
AY755739.1,Ephedra likiangensis,257426,genomic DNA,1662,Ephedra likiangensis,383413-1,Ephedraceae,Ephedra,likiangensis,,Ephedra likiangensis,SPECIES,Accepted,,,
AY755740.1,Ephedra equisetina,173280,genomic DNA,1659,Ephedra equisetina,928049-1,Ephedraceae,Ephedra,equisetina,,Ephedra equisetina,SPECIES,Accepted,,,
AY755741.1,Ephedra intermedia,173278,genomic DNA,1677,Ephedra intermedia,383409-1,Ephedraceae,Ephedra,intermedia,,Ephedra intermedia,SPECIES,Accepted,,,
AY755742.1,Ephedra minuta,173279,genomic DNA,1662,Ephedra minuta,383425-1,Ephedraceae,Ephedra,minuta,,Ephedra minuta,SPECIES,Accepted,,,
AY755743.1,Ephedra frustillata,173277,genomic DNA,1659,Ephedra frustillata,383398-1,Ephedraceae,Ephedra,frustillata,,Ephedra frustillata,SPECIES,Accepted,,,
AY755744.1,Ephedra andina,173281,genomic DNA,1659,Ephedra andina,329491-2,Ephedraceae,Ephedra,chilensis,,Ephedra chilensis,SPECIES,Synonym,,,
AY755745.1,Ephedra gerardiana,42328,genomic DNA,1658,Ephedra gerardiana,60470164-2,Ephedraceae,Ephedra,gerardiana,,Ephedra gerardiana,SPECIES,Accepted,,,
AY755746.1,Ephedra monosperma,173276,genomic DNA,1677,Ephedra monosperma,1008173-1,Ephedraceae,Ephedra,monosperma,,Ephedra monosperma,SPECIES,Accepted,,,
AY755747.1,Ephedra sinica,33152,genomic DNA,1677,Ephedra sinica,383460-1,Ephedraceae,Ephedra,sinica,,Ephedra sinica,SPECIES,Accepted,,,
AY755748.1,Ephedra frustillata,173277,genomic DNA,1659,Ephedra frustillata,383398-1,Ephedraceae,Ephedra,frustillata,,Ephedra frustillata,SPECIES,Accepted,,,
AY755749.1,Ephedra sinica,33152,genomic DNA,1676,Ephedra sinica,383460-1,Ephedraceae,Ephedra,sinica,,Ephedra sinica,SPECIES,Accepted,,,
AY755750.1,Ephedra californica,45090,genomic DNA,1659,Ephedra californica,383367-1,Ephedraceae,Ephedra,californica,,Ephedra californica,SPECIES,Accepted,,,
AY755751.1,Ephedra equisetina,173280,genomic DNA,1657,Ephedra equisetina,928049-1,Ephedraceae,Ephedra,equisetina,,Ephedra equisetina,SPECIES,Accepted,,,
AY755752.1,Ephedra fragilis,50295,genomic DNA,1636,Ephedra fragilis,383397-1,Ephedraceae,Ephedra,fragilis,,Ephedra fragilis,SPECIES,Accepted,,,
AY755753.1,Ephedra gerardiana,42328,genomic DNA,1658,Ephedra gerardiana,60470164-2,Ephedraceae,Ephedra,gerardiana,,Ephedra gerardiana,SPECIES,Accepted,,,
AY755754.1,Ephedra chilensis,224737,genomic DNA,1659,Ephedra chilensis,329491-2,Ephedraceae,Ephedra,chilensis,,Ephedra chilensis,SPECIES,Accepted,,,
AY755755.1,Ephedra minuta,173279,genomic DNA,1662,Ephedra minuta,383425-1,Ephedraceae,Ephedra,minuta,,Ephedra minuta,SPECIES,Accepted,,,
AY755756.1,Ephedra minuta,173279,genomic DNA,1662,Ephedra minuta,383425-1,Ephedraceae,Ephedra,minuta,,Ephedra minuta,SPECIES,Accepted,,,
AY755757.1,Ephedra antisyphilitica,36014,genomic DNA,1658,Ephedra antisyphilitica,383355-1,Ephedraceae,Ephedra,antisyphilitica,,Ephedra antisyphilitica,SPECIES,Accepted,,,
AY755758.1,Ephedra intermedia,173278,genomic DNA,1677,Ephedra intermedia,383409-1,Ephedraceae,Ephedra,intermedia,,Ephedra intermedia,SPECIES,Accepted,,,
AY755759.1,Ephedra torreyana,45077,genomic DNA,1659,Ephedra torreyana,30155955-2,Ephedraceae,Ephedra,torreyana,,Ephedra torreyana,SPECIES,Accepted,,,
AY755760.1,Ephedra gerardiana,42328,genomic DNA,1657,Ephedra gerardiana,60470164-2,Ephedraceae,Ephedra,gerardiana,,Ephedra gerardiana,SPECIES,Accepted,,,
AY755761.1,Ephedra distachya,3389,genomic DNA,1675,Ephedra distachya,383381-1,Ephedraceae,Ephedra,distachya,,Ephedra distachya,SPECIES,Accepted,,,
AY755762.1,Ephedra trifurca,39583,genomic DNA,1658,Ephedra trifurca,383471-1,Ephedraceae,Ephedra,trifurca,,Ephedra trifurca,SPECIES,Accepted,,,
AY755764.1,Ephedra nevadensis,191310,genomic DNA,1658,Ephedra nevadensis,383434-1,Ephedraceae,Ephedra,nevadensis,,Ephedra nevadensis,SPECIES,Accepted,,,
AY755765.1,Ephedra rupestris,288829,genomic DNA,1658,Ephedra rupestris,312979-2,Ephedraceae,Ephedra,rupestris,,Ephedra rupestris,SPECIES,Accepted,,,
AY755766.1,Ephedra likiangensis,257426,genomic DNA,1662,Ephedra likiangensis,383413-1,Ephedraceae,Ephedra,likiangensis,,Ephedra likiangensis,SPECIES,Accepted,,,
AY755767.1,Ephedra chilensis,224737,genomic DNA,1658,Ephedra chilensis,329491-2,Ephedraceae,Ephedra,chilensis,,Ephedra chilensis,SPECIES,Accepted,,,
AY755769.1,Ephedra distachya,3389,genomic DNA,1675,Ephedra distachya,383381-1,Ephedraceae,Ephedra,distachya,,Ephedra distachya,SPECIES,Accepted,,,
AY755770.1,Ephedra equisetina,173280,genomic DNA,1659,Ephedra equisetina,928049-1,Ephedraceae,Ephedra,equisetina,,Ephedra equisetina,SPECIES,Accepted,,,
AY755771.1,Ephedra aphylla,191304,genomic DNA,1637,Ephedra aphylla,383356-1,Ephedraceae,Ephedra,aphylla,,Ephedra aphylla,SPECIES,Accepted,,,
AY755772.1,Ephedra altissima,3391,genomic DNA,1637,Ephedra altissima,60459745-2,Ephedraceae,Ephedra,altissima,,Ephedra altissima,SPECIES,Accepted,,,
AY755773.1,Ephedra altissima,3391,genomic DNA,1637,Ephedra altissima,60459745-2,Ephedraceae,Ephedra,altissima,,Ephedra altissima,SPECIES,Accepted,,,
AY755774.1,Ephedra alata,302006,genomic DNA,1638,Ephedra alata,383343-1,Ephedraceae,Ephedra,alata,,Ephedra alata,SPECIES,Accepted,,,
AY755775.1,Ephedra foliata,302007,genomic DNA,1663,Ephedra foliata,326016-1,Ephedraceae,Ephedra,foliata,,Ephedra foliata,SPECIES,Accepted,,,
AY755776.1,Ephedra ciliata,302008,genomic DNA,1660,Ephedra ciliata,326016-1,Ephedraceae,Ephedra,foliata,,Ephedra foliata,SPECIES,Synonym,,,
AY755777.1,Ephedra campylopoda,302009,genomic DNA,1635,Ephedra campylopoda,383392-1,Ephedraceae,Ephedra,foeminea,,Ephedra foeminea,SPECIES,Synonym,,,
AY755778.1,Ephedra major,34344,genomic DNA,1637,Ephedra major,383420-1,Ephedraceae,Ephedra,major,,Ephedra major,SPECIES,Accepted,,,
AY755779.1,Ephedra pachyclada,289842,genomic DNA,1658,Ephedra pachyclada,383437-1,Ephedraceae,Ephedra,pachyclada,,Ephedra pachyclada,SPECIES,Accepted,,,
AY788147.1,Aporosa frutescens,72378,genomic DNA,1706,Aporosa frutescens,339224-1,Phyllanthaceae,Aporosa,frutescens,,Aporosa frutescens,SPECIES,Accepted,,,
AY788148.1,Croizatia brevipetiolata,289653,genomic DNA,1707,Croizatia brevipetiolata,1012332-1,Phyllanthaceae,Croizatia,brevipetiolata,,Croizatia brevipetiolata,SPECIES,Accepted,,,
AY788149.1,Dalechampia spathulata,212295,genomic DNA,1708,Dalechampia spathulata,1092397-2,Euphorbiaceae,Dalechampia,spathulata,,Dalechampia spathulata,SPECIES,Accepted,,,
AY788150.1,Durandea pentagyna,289635,genomic DNA,1710,Durandea pentagyna,544220-1,Linaceae,Hugonia,jenkinsii,,Hugonia jenkinsii,SPECIES,Synonym,,,
AY788151.1,Spathiostemon javensis,314337,genomic DNA,1710,Spathiostemon javensis,250467-1,Euphorbiaceae,Spathiostemon,javensis,,Spathiostemon javensis,SPECIES,Accepted,,,
AY788152.1,Lasiocroton bahamensis,289646,genomic DNA,1707,Lasiocroton bahamensis,135797-2,Euphorbiaceae,Lasiocroton,bahamensis,,Lasiocroton bahamensis,SPECIES,Accepted,,,
AY788153.1,Panda oleosa,212258,genomic DNA,1712,Panda oleosa,670339-1,Pandaceae,Panda,oleosa,,Panda oleosa,SPECIES,Accepted,,,
AY788154.1,Paradrypetes subintegrifolia,314339,genomic DNA,1712,Paradrypetes subintegrifolia,306057-2,Rhizophoraceae,Paradrypetes,subintegrifolia,,Paradrypetes subintegrifolia,SPECIES,Accepted,,,
AY788155.1,Podostemum ceratophyllum,51604,genomic DNA,1634,Podostemum ceratophyllum,688492-1,Podostemaceae,Podostemum,ceratophyllum,,Podostemum ceratophyllum,SPECIES,Accepted,,,
AY788156.1,Pogonophora schomburgkiana,289656,genomic DNA,1712,Pogonophora schomburgkiana,354987-1,Peraceae,Pogonophora,schomburgkiana,,Pogonophora schomburgkiana,SPECIES,Accepted,,,
AY788157.1,Suregada boiviniana,314341,genomic DNA,1709,Suregada boiviniana,356652-1,Euphorbiaceae,Suregada,boiviniana,,Suregada boiviniana,SPECIES,Accepted,,,
AY788158.1,Tetracoccus dioicus,289593,genomic DNA,1712,Tetracoccus dioicus,30031432-2,Picrodendraceae,Tetracoccus,dioicus,,Tetracoccus dioicus,SPECIES,Accepted,,,
AY788159.1,Tetrorchidium sp. Bell 93-204,289658,genomic DNA,1712,Tetrorchidium sp. Bell 93-204,327704-2,Euphorbiaceae,Tetrorchidium,sp.,,Tetrorchidium sp.,GENUS,Accepted,,,
AY788160.1,Trigonostemon verrucosus,289661,genomic DNA,1710,Trigonostemon verrucosus,358077-1,Euphorbiaceae,Trigonostemon,verrucosus,,Trigonostemon verrucosus,SPECIES,Accepted,,,
AY788161.1,Tripterygium regelii,123485,genomic DNA,1608,Tripterygium regelii,162907-1,Celastraceae,Tripterygium,regelii,,Tripterygium regelii,SPECIES,Accepted,,,
AY788162.1,Celastrus orbiculatus,85181,genomic DNA,1687,Celastrus orbiculatus,927512-1,Celastraceae,Celastrus,orbiculatus,,Celastrus orbiculatus,SPECIES,Accepted,,,
AY788163.1,Dillenia philippinensis,169244,genomic DNA,1686,Dillenia philippinensis,316735-1,Dilleniaceae,Dillenia,philippinensis,,Dillenia philippinensis,SPECIES,Accepted,,,
AY788164.1,Euonymus alatus,4307,genomic DNA,1656,Euonymus alatus,30148396-2,Celastraceae,Euonymus,alatus,,Euonymus alatus,SPECIES,Accepted,,,
AY788165.1,Gymnosporia senegalensis,256095,genomic DNA,1678,Gymnosporia senegalensis,161441-1,Celastraceae,Gymnosporia,senegalensis,,Gymnosporia senegalensis,SPECIES,Accepted,,,
AY788166.1,Ruptiliocarpon caracolito,125035,genomic DNA,1722,Ruptiliocarpon caracolito,300099-2,Lepidobotryaceae,Ruptiliocarpon,caracolito,,Ruptiliocarpon caracolito,SPECIES,Accepted,,,
AY846367.1,Lolium multiflorum,4521,genomic DNA,1764,Lolium multiflorum,407486-1,Poaceae,Lolium,multiflorum,,Lolium multiflorum,SPECIES,Accepted,,,
AY929338.1,Afrostyrax kamerunensis,324801,genomic DNA,1779,Afrostyrax kamerunensis,826261-1,Huaceae,Afrostyrax,kamerunensis,,Afrostyrax kamerunensis,SPECIES,Accepted,,,
AY929339.1,Afrostyrax lepidophyllus,324802,genomic DNA,1770,Afrostyrax lepidophyllus,826262-1,Huaceae,Afrostyrax,lepidophyllus,,Afrostyrax lepidophyllus,SPECIES,Accepted,,,
AY929340.1,Bhesa paniculata,324800,genomic DNA,1723,Bhesa paniculata,159987-1,Centroplacaceae,Bhesa,paniculata,,Bhesa paniculata,SPECIES,Accepted,,,
AY929341.1,Bhesa robusta,324803,genomic DNA,1778,Bhesa robusta,159988-1,Centroplacaceae,Bhesa,robusta,,Bhesa robusta,SPECIES,Accepted,,,
AY929342.1,Canotia holacantha,147189,genomic DNA,1781,Canotia holacantha,771773-1,Celastraceae,Canotia,holacantha,,Canotia holacantha,SPECIES,Accepted,,,
AY929343.1,Dicarpellum pancheri,123391,genomic DNA,1779,Dicarpellum pancheri,430976-1,Celastraceae,Dicarpellum,pancheri,,Dicarpellum pancheri,SPECIES,Accepted,,,
AY929344.1,Empleuridium juniperinum,324789,genomic DNA,1786,Empleuridium juniperinum,772658-1,Celastraceae,Empleuridium,juniperinum,,Empleuridium juniperinum,SPECIES,Accepted,,,
AY929346.1,Lepidobotrys staudtii,125033,genomic DNA,1701,Lepidobotrys staudtii,544288-1,Lepidobotryaceae,Lepidobotrys,staudtii,,Lepidobotrys staudtii,SPECIES,Accepted,,,
AY929347.1,Lepuropetalon spathulatum,23255,genomic DNA,1785,Lepuropetalon spathulatum,791803-1,Celastraceae,Lepuropetalon,spathulatum,,Lepuropetalon spathulatum,SPECIES,Accepted,,,
AY929348.1,Mortonia greggii,123436,genomic DNA,1778,Mortonia greggii,162242-1,Celastraceae,Mortonia,greggii,,Mortonia greggii,SPECIES,Accepted,,,
AY929349.1,Parnassia faberi,324804,genomic DNA,1772,Parnassia faberi,792083-1,Celastraceae,Parnassia,faberi,,Parnassia faberi,SPECIES,Accepted,,,
AY929350.1,Parnassia glauca,324805,genomic DNA,1771,Parnassia glauca,792089-1,Celastraceae,Parnassia,glauca,,Parnassia glauca,SPECIES,Accepted,,,
AY929351.1,Parnassia laxmannii,324806,genomic DNA,1771,Parnassia laxmannii,792097-1,Celastraceae,Parnassia,laxmannii,,Parnassia laxmannii,SPECIES,Accepted,,,
AY929352.1,Parnassia palustris,38862,genomic DNA,1787,Parnassia palustris,792120-1,Celastraceae,Parnassia,palustris,,Parnassia palustris,SPECIES,Accepted,,,
AY929353.1,Parnassia palustris,38862,genomic DNA,1788,Parnassia palustris,792120-1,Celastraceae,Parnassia,palustris,,Parnassia palustris,SPECIES,Accepted,,,
AY929354.1,Parnassia tenella,324807,genomic DNA,1775,Parnassia tenella,792137-1,Celastraceae,Parnassia,tenella,,Parnassia tenella,SPECIES,Accepted,,,
AY929355.1,Parnassia trinervis,324808,genomic DNA,1773,Parnassia trinervis,792140-1,Celastraceae,Parnassia,trinervis,,Parnassia trinervis,SPECIES,Accepted,,,
AY929356.1,Peripterygia marginata,123443,genomic DNA,1757,Peripterygia marginata,162327-1,Celastraceae,Peripterygia,marginata,,Peripterygia marginata,SPECIES,Accepted,,,
AY929357.1,Perrottetia longistylis,324809,genomic DNA,1772,Perrottetia longistylis,190586-2,Dipentodontaceae,Perrottetia,longistylis,,Perrottetia longistylis,SPECIES,Accepted,,,
AY929358.1,Perrottetia ovata,123447,genomic DNA,1773,Perrottetia ovata,162352-1,Dipentodontaceae,Perrottetia,ovata,,Perrottetia ovata,SPECIES,Accepted,,,
AY929360.1,Quetzalia occidentalis,123462,genomic DNA,1781,Quetzalia occidentalis,216629-2,Celastraceae,Quetzalia,occidentalis,,Quetzalia occidentalis,SPECIES,Accepted,,,
AY929361.1,Ruptiliocarpon caracolito,125035,genomic DNA,1750,Ruptiliocarpon caracolito,300099-2,Lepidobotryaceae,Ruptiliocarpon,caracolito,,Ruptiliocarpon caracolito,SPECIES,Accepted,,,
AY929362.1,Stackhousia monogyna,123499,genomic DNA,1781,Stackhousia monogyna,821901-1,Celastraceae,Stackhousia,monogyna,,Stackhousia monogyna,SPECIES,Accepted,,,
AY929363.1,Tripterococcus brunonis,123501,genomic DNA,1783,Tripterococcus brunonis,821919-1,Celastraceae,Tripterococcus,brunonis,,Tripterococcus brunonis,SPECIES,Accepted,,,
AY929364.1,Zinowiewia concinna,123490,genomic DNA,1780,Zinowiewia concinna,271165-2,Celastraceae,Zinowiewia,concinna,,Zinowiewia concinna,SPECIES,Accepted,,,
AY929365.1,Anisophyllea fallax,106632,genomic DNA,1785,Anisophyllea fallax,719474-1,Anisophylleaceae,Anisophyllea,fallax,,Anisophyllea fallax,SPECIES,Accepted,,,
AY929366.1,Averrhoa carambola,28974,genomic DNA,1784,Averrhoa carambola,371870-1,Oxalidaceae,Averrhoa,carambola,,Averrhoa carambola,SPECIES,Accepted,,,
AY929367.1,Brunellia sp. Skinner et al. 43,324810,genomic DNA,1769,Brunellia sp. Skinner et al. 43,38171-1,Brunelliaceae,Brunellia,sp.,,Brunellia sp.,GENUS,Accepted,,,
AY929368.1,Connarus championii,324811,genomic DNA,1768,Connarus championii,264317-1,Connaraceae,Connarus,championii,,Connarus championii,SPECIES,Accepted,,,
AY929369.1,Humiria balsamifera,4009,genomic DNA,1770,Humiria balsamifera,431431-1,Humiriaceae,Humiria,balsamifera,,Humiria balsamifera,SPECIES,Accepted,,,
AY929370.1,Lacistema aggregatum,112829,genomic DNA,1738,Lacistema aggregatum,134457-2,Lacistemataceae,Lacistema,aggregatum,,Lacistema aggregatum,SPECIES,Accepted,,,
AY929371.1,Lagenaria breviflora,254159,genomic DNA,1781,Lagenaria breviflora,293036-1,Cucurbitaceae,Lagenaria,breviflora,,Lagenaria breviflora,SPECIES,Accepted,,,
AY929372.1,Larrea tridentata,66636,genomic DNA,1770,Larrea tridentata,873322-1,Zygophyllaceae,Larrea,tridentata,,Larrea tridentata,SPECIES,Accepted,,,
AY929373.1,Rinorea pubiflora,324812,genomic DNA,1770,Rinorea pubiflora,221441-2,Violaceae,Rinorea,pubiflora,,Rinorea pubiflora,SPECIES,Accepted,,,
AY929374.1,Sarcomphalus obtusifolius,73717,genomic DNA,1781,Sarcomphalus obtusifolius,77154245-1,Rhamnaceae,Sarcomphalus,obtusifolius,,Sarcomphalus obtusifolius,SPECIES,Accepted,,,
AY952382.1,Yucca filamentosa,55960,genomic DNA,1677,Yucca filamentosa,325008-2,Asparagaceae,Yucca,filamentosa,,Yucca filamentosa,SPECIES,Accepted,,,
AY952383.1,Veratrum maackii,82471,genomic DNA,1791,Veratrum maackii,543507-1,Melanthiaceae,Veratrum,maackii,,Veratrum maackii,SPECIES,Accepted,,,
