SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status
FR691029.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691030.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691031.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691032.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691033.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691034.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691035.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691036.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691037.1,Gagea angelae,884027,genomic DNA,397,Gagea angelae,77116767-1,Liliaceae,Gagea,angelae,,Gagea angelae,SPECIES,Accepted
FR691038.1,Gagea huochengensis,884028,genomic DNA,406,Gagea huochengensis,77116769-1,Liliaceae,Gagea,huochengensis,,Gagea huochengensis,SPECIES,Accepted
FR691039.1,Gagea huochengensis,884028,genomic DNA,396,Gagea huochengensis,77116769-1,Liliaceae,Gagea,huochengensis,,Gagea huochengensis,SPECIES,Accepted
FR691040.1,Gagea huochengensis,884028,genomic DNA,397,Gagea huochengensis,77116769-1,Liliaceae,Gagea,huochengensis,,Gagea huochengensis,SPECIES,Accepted
FR691041.1,Gagea huochengensis,884028,genomic DNA,397,Gagea huochengensis,77116769-1,Liliaceae,Gagea,huochengensis,,Gagea huochengensis,SPECIES,Accepted
FR691042.1,Gagea huochengensis,884028,genomic DNA,406,Gagea huochengensis,77116769-1,Liliaceae,Gagea,huochengensis,,Gagea huochengensis,SPECIES,Accepted
FR691043.1,Gagea huochengensis,884028,genomic DNA,397,Gagea huochengensis,77116769-1,Liliaceae,Gagea,huochengensis,,Gagea huochengensis,SPECIES,Accepted
FR691044.1,Gagea xiphoidea,884024,genomic DNA,406,Gagea xiphoidea,20001939-1,Liliaceae,Gagea,xiphoidea,,Gagea xiphoidea,SPECIES,Accepted
FR691045.1,Gagea xiphoidea,884024,genomic DNA,406,Gagea xiphoidea,20001939-1,Liliaceae,Gagea,xiphoidea,,Gagea xiphoidea,SPECIES,Accepted
FR694955.1,Oxytropis oxyphylla,904380,genomic DNA,420,Oxytropis oxyphylla,511744-1,Fabaceae,Oxytropis,oxyphylla,,Oxytropis oxyphylla,SPECIES,Accepted
FR726099.1,Mentha aquatica,190902,genomic DNA,392,Mentha aquatica,450192-1,Lamiaceae,Mentha,aquatica,,Mentha aquatica,SPECIES,Accepted
FR726100.1,Mentha aquatica,190902,genomic DNA,392,Mentha aquatica,450192-1,Lamiaceae,Mentha,aquatica,,Mentha aquatica,SPECIES,Accepted
FR726101.1,Mentha spicata,29719,genomic DNA,396,Mentha spicata,451162-1,Lamiaceae,Mentha,spicata,,Mentha spicata,SPECIES,Accepted
FR726102.1,Mentha spicata,29719,genomic DNA,403,Mentha spicata,451162-1,Lamiaceae,Mentha,spicata,,Mentha spicata,SPECIES,Accepted
FR726103.1,Mentha sp. MIB zpl,926336,genomic DNA,403,Mentha sp. MIB zpl,30016176-2,Lamiaceae,Mentha,sp.,,Mentha sp.,GENUS,Accepted
FR726104.1,Mentha sp. MIB zpl,926336,genomic DNA,404,Mentha sp. MIB zpl,30016176-2,Lamiaceae,Mentha,sp.,,Mentha sp.,GENUS,Accepted
FR726105.1,Mentha sp. MIB zpl,926336,genomic DNA,404,Mentha sp. MIB zpl,30016176-2,Lamiaceae,Mentha,sp.,,Mentha sp.,GENUS,Accepted
FR726106.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726107.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726108.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726109.1,Ocimum gratissimum,204144,genomic DNA,382,Ocimum gratissimum,452969-1,Lamiaceae,Ocimum,gratissimum,,Ocimum gratissimum,SPECIES,Accepted
FR726110.1,Ocimum tenuiflorum,204149,genomic DNA,389,Ocimum tenuiflorum,453130-1,Lamiaceae,Ocimum,tenuiflorum,,Ocimum tenuiflorum,SPECIES,Accepted
FR726111.1,Ocimum sp. MIB zpl,926337,genomic DNA,385,Ocimum sp. MIB zpl,21070-1,Lamiaceae,Ocimum,sp.,,Ocimum sp.,GENUS,Accepted
FR726112.1,Ocimum sp. MIB zpl,926337,genomic DNA,385,Ocimum sp. MIB zpl,21070-1,Lamiaceae,Ocimum,sp.,,Ocimum sp.,GENUS,Accepted
FR726113.1,Ocimum sp. MIB zpl,926337,genomic DNA,385,Ocimum sp. MIB zpl,21070-1,Lamiaceae,Ocimum,sp.,,Ocimum sp.,GENUS,Accepted
FR726114.1,Ocimum basilicum,39350,genomic DNA,384,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726115.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726116.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726117.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726118.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726119.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726120.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726121.1,Ocimum basilicum,39350,genomic DNA,385,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
FR726122.1,Origanum majorana,268884,genomic DNA,415,Origanum majorana,453303-1,Lamiaceae,Origanum,majorana,,Origanum majorana,SPECIES,Accepted
FR726123.1,Origanum majorana,268884,genomic DNA,415,Origanum majorana,453303-1,Lamiaceae,Origanum,majorana,,Origanum majorana,SPECIES,Accepted
FR726124.1,Origanum majorana,268884,genomic DNA,415,Origanum majorana,453303-1,Lamiaceae,Origanum,majorana,,Origanum majorana,SPECIES,Accepted
FR726126.1,Origanum sp. MIB zpl(1),926338,genomic DNA,415,Origanum sp. MIB zpl(1),21080-1,Lamiaceae,Origanum,sp.,,Origanum sp.,GENUS,Accepted
FR726127.1,Origanum sp. MIB zpl(1),926338,genomic DNA,421,Origanum sp. MIB zpl(1),21080-1,Lamiaceae,Origanum,sp.,,Origanum sp.,GENUS,Accepted
FR726128.1,Origanum sp. MIB zpl(1),926338,genomic DNA,415,Origanum sp. MIB zpl(1),21080-1,Lamiaceae,Origanum,sp.,,Origanum sp.,GENUS,Accepted
FR726129.1,Origanum vulgare,39352,genomic DNA,415,Origanum vulgare,453395-1,Lamiaceae,Origanum,vulgare,,Origanum vulgare,SPECIES,Accepted
FR726130.1,Origanum vulgare,39352,genomic DNA,421,Origanum vulgare,453395-1,Lamiaceae,Origanum,vulgare,,Origanum vulgare,SPECIES,Accepted
FR726131.1,Origanum vulgare,39352,genomic DNA,421,Origanum vulgare,453395-1,Lamiaceae,Origanum,vulgare,,Origanum vulgare,SPECIES,Accepted
FR726132.1,Origanum vulgare,39352,genomic DNA,430,Origanum vulgare,453395-1,Lamiaceae,Origanum,vulgare,,Origanum vulgare,SPECIES,Accepted
FR726133.1,Origanum vulgare,39352,genomic DNA,416,Origanum vulgare,453395-1,Lamiaceae,Origanum,vulgare,,Origanum vulgare,SPECIES,Accepted
FR726134.1,Origanum sp. MIB zpl(2),926985,genomic DNA,404,Origanum sp. MIB zpl(2),21080-1,Lamiaceae,Origanum,sp.,,Origanum sp.,GENUS,Accepted
FR726135.1,Origanum sp. MIB zpl(2),926985,genomic DNA,404,Origanum sp. MIB zpl(2),21080-1,Lamiaceae,Origanum,sp.,,Origanum sp.,GENUS,Accepted
FR726136.1,Origanum sp. MIB zpl(2),926985,genomic DNA,404,Origanum sp. MIB zpl(2),21080-1,Lamiaceae,Origanum,sp.,,Origanum sp.,GENUS,Accepted
FR726137.1,Origanum dictamnus,497761,genomic DNA,415,Origanum dictamnus,453239-1,Lamiaceae,Origanum,dictamnus,,Origanum dictamnus,SPECIES,Accepted
FR726138.1,Origanum vulgare subsp. viridulum,925987,genomic DNA,415,Origanum vulgare subsp. viridulum,77101344-1,Lamiaceae,Origanum,vulgare,viridulum,Origanum vulgare subsp. viridulum,SUBSPECIES,Accepted
FR726139.1,Salvia officinalis,38868,genomic DNA,417,Salvia officinalis,456833-1,Lamiaceae,Salvia,officinalis,,Salvia officinalis,SPECIES,Accepted
FR726140.1,Salvia officinalis,38868,genomic DNA,417,Salvia officinalis,456833-1,Lamiaceae,Salvia,officinalis,,Salvia officinalis,SPECIES,Accepted
FR726141.1,Salvia officinalis,38868,genomic DNA,417,Salvia officinalis,456833-1,Lamiaceae,Salvia,officinalis,,Salvia officinalis,SPECIES,Accepted
FR726142.1,Salvia rutilans,49218,genomic DNA,403,Salvia rutilans,456162-1,Lamiaceae,Salvia,elegans,,Salvia elegans,SPECIES,Synonym
FR726143.1,Salvia sclarea,38869,genomic DNA,391,Salvia sclarea,457210-1,Lamiaceae,Salvia,sclarea,,Salvia sclarea,SPECIES,Accepted
FR726144.1,Salvia uliginosa,49219,genomic DNA,395,Salvia uliginosa,457459-1,Lamiaceae,Salvia,uliginosa,,Salvia uliginosa,SPECIES,Accepted
FR726145.1,Salvia sp. MIB zpl,926339,genomic DNA,417,Salvia sp. MIB zpl,30000096-2,Lamiaceae,Salvia,sp.,,Salvia sp.,GENUS,Accepted
FR726146.1,Salvia sp. MIB zpl,926339,genomic DNA,417,Salvia sp. MIB zpl,30000096-2,Lamiaceae,Salvia,sp.,,Salvia sp.,GENUS,Accepted
FR726147.1,Salvia sp. MIB zpl,926339,genomic DNA,417,Salvia sp. MIB zpl,30000096-2,Lamiaceae,Salvia,sp.,,Salvia sp.,GENUS,Accepted
FR726148.1,Thymus vulgaris,49992,genomic DNA,416,Thymus vulgaris,461765-1,Lamiaceae,Thymus,vulgaris,,Thymus vulgaris,SPECIES,Accepted
FR726149.1,Thymus vulgaris,49992,genomic DNA,416,Thymus vulgaris,461765-1,Lamiaceae,Thymus,vulgaris,,Thymus vulgaris,SPECIES,Accepted
FR726150.1,Thymus vulgaris,49992,genomic DNA,416,Thymus vulgaris,461765-1,Lamiaceae,Thymus,vulgaris,,Thymus vulgaris,SPECIES,Accepted
FR726151.1,Thymus sp. MIB zpl,926340,genomic DNA,416,Thymus sp. MIB zpl,30002942-2,Lamiaceae,Thymus,sp.,,Thymus sp.,GENUS,Accepted
FR726152.1,Thymus sp. MIB zpl,926340,genomic DNA,415,Thymus sp. MIB zpl,30002942-2,Lamiaceae,Thymus,sp.,,Thymus sp.,GENUS,Accepted
FR726153.1,Thymus sp. MIB zpl,926340,genomic DNA,416,Thymus sp. MIB zpl,30002942-2,Lamiaceae,Thymus,sp.,,Thymus sp.,GENUS,Accepted
FR726154.1,Salvia rosmarinus,39367,genomic DNA,337,Salvia rosmarinus,457138-1,Lamiaceae,Salvia,rosmarinus,,Salvia rosmarinus,SPECIES,Accepted
FR726155.1,Salvia rosmarinus,39367,genomic DNA,337,Salvia rosmarinus,457138-1,Lamiaceae,Salvia,rosmarinus,,Salvia rosmarinus,SPECIES,Accepted
FR726156.1,Salvia rosmarinus,39367,genomic DNA,337,Salvia rosmarinus,457138-1,Lamiaceae,Salvia,rosmarinus,,Salvia rosmarinus,SPECIES,Accepted
FR726157.1,Salvia sp. MIB zpl,926339,genomic DNA,337,Salvia sp. MIB zpl,30000096-2,Lamiaceae,Salvia,sp.,,Salvia sp.,GENUS,Accepted
FR726158.1,Salvia sp. MIB zpl,926339,genomic DNA,337,Salvia sp. MIB zpl,30000096-2,Lamiaceae,Salvia,sp.,,Salvia sp.,GENUS,Accepted
FR726159.1,Salvia sp. MIB zpl,926339,genomic DNA,337,Salvia sp. MIB zpl,30000096-2,Lamiaceae,Salvia,sp.,,Salvia sp.,GENUS,Accepted
FR821715.1,Elytropappus hispidus,984059,genomic DNA,506,Elytropappus hispidus,203013-1,Asteraceae,Elytropappus,hispidus,,Elytropappus hispidus,SPECIES,Accepted
FR821717.1,Gnaphalium declinatum,984061,genomic DNA,431,Gnaphalium declinatum,209343-1,Asteraceae,Gnaphalium,declinatum,,Gnaphalium declinatum,SPECIES,Accepted
FR821721.1,Lasiopogon debilis,984064,genomic DNA,460,Lasiopogon debilis,909024-1,Asteraceae,Lasiopogon,debilis,,Lasiopogon debilis,SPECIES,Accepted
FR821723.1,Lasiopogon micropoides,984065,genomic DNA,287,Lasiopogon micropoides,908982-1,Asteraceae,Ifloga,molluginoides,,Ifloga molluginoides,SPECIES,Synonym
FR821725.1,Ifloga anomala,984066,genomic DNA,353,Ifloga anomala,897980-1,Asteraceae,Ifloga,anomala,,Ifloga anomala,SPECIES,Accepted
FR821726.1,Ifloga glomerata,984067,genomic DNA,355,Ifloga glomerata,256308-1,Asteraceae,Trichogyne,glomerata,,Trichogyne glomerata,SPECIES,Homotypic_Synonym
FR821727.1,Ifloga molluginoides,984068,genomic DNA,364,Ifloga molluginoides,908982-1,Asteraceae,Ifloga,molluginoides,,Ifloga molluginoides,SPECIES,Accepted
FR821728.1,Ifloga spicata,702251,genomic DNA,365,Ifloga spicata,225700-1,Asteraceae,Ifloga,spicata,,Ifloga spicata,SPECIES,Accepted
FR821729.1,Trichogyne ambigua,112404,genomic DNA,394,Trichogyne ambigua,256305-1,Asteraceae,Trichogyne,ambigua,,Trichogyne ambigua,SPECIES,Accepted
FR821730.1,Trichogyne candida,984069,genomic DNA,410,Trichogyne candida,963066-1,Asteraceae,Trichogyne,candida,,Trichogyne candida,SPECIES,Accepted
FR821731.1,Trichogyne decumbens,984070,genomic DNA,464,Trichogyne decumbens,256307-1,Asteraceae,Trichogyne,decumbens,,Trichogyne decumbens,SPECIES,Accepted
FR821732.1,Trichogyne lerouxiae,984071,genomic DNA,379,Trichogyne lerouxiae,77114271-1,Asteraceae,Ifloga,lerouxiae,,Ifloga lerouxiae,SPECIES,Homotypic_Synonym
FR821734.1,Trichogyne polycnemoides,984074,genomic DNA,383,Trichogyne polycnemoides,963068-1,Asteraceae,Trichogyne,polycnemoides,,Trichogyne polycnemoides,SPECIES,Accepted
FR821735.1,Trichogyne repens,702250,genomic DNA,408,Trichogyne repens,963069-1,Asteraceae,Trichogyne,repens,,Trichogyne repens,SPECIES,Accepted
FR821736.1,Trichogyne verticillata,378879,genomic DNA,375,Trichogyne verticillata,963068-1,Asteraceae,Trichogyne,polycnemoides,,Trichogyne polycnemoides,SPECIES,Synonym
FR822344.1,Capsella bursa-pastoris,3719,genomic DNA,360,Capsella bursa-pastoris,30092589-2,Brassicaceae,Capsella,bursa-pastoris,,Capsella bursa-pastoris,SPECIES,Accepted
FR822345.1,Capsella bursa-pastoris,3719,genomic DNA,360,Capsella bursa-pastoris,30092589-2,Brassicaceae,Capsella,bursa-pastoris,,Capsella bursa-pastoris,SPECIES,Accepted
FR822346.1,Capsella bursa-pastoris,3719,genomic DNA,360,Capsella bursa-pastoris,30092589-2,Brassicaceae,Capsella,bursa-pastoris,,Capsella bursa-pastoris,SPECIES,Accepted
FR822347.1,Capsella orientalis,945839,genomic DNA,360,Capsella orientalis,280028-1,Brassicaceae,Capsella,orientalis,,Capsella orientalis,SPECIES,Accepted
FR822348.1,Capsella orientalis,945839,genomic DNA,360,Capsella orientalis,280028-1,Brassicaceae,Capsella,orientalis,,Capsella orientalis,SPECIES,Accepted
FR822349.1,Capsella orientalis,945839,genomic DNA,360,Capsella orientalis,280028-1,Brassicaceae,Capsella,orientalis,,Capsella orientalis,SPECIES,Accepted
FR822350.1,Capsella rubella,81985,genomic DNA,362,Capsella rubella,280061-1,Brassicaceae,Capsella,rubella,,Capsella rubella,SPECIES,Accepted
FR822351.1,Capsella rubella,81985,genomic DNA,362,Capsella rubella,280061-1,Brassicaceae,Capsella,rubella,,Capsella rubella,SPECIES,Accepted
FR822352.1,Capsella grandiflora,264402,genomic DNA,362,Capsella grandiflora,279976-1,Brassicaceae,Capsella,grandiflora,,Capsella grandiflora,SPECIES,Accepted
FR822353.1,Capsella grandiflora,264402,genomic DNA,362,Capsella grandiflora,279976-1,Brassicaceae,Capsella,grandiflora,,Capsella grandiflora,SPECIES,Accepted
FR822354.1,Neslia paniculata,98023,genomic DNA,356,Neslia paniculata,287664-1,Brassicaceae,Neslia,paniculata,,Neslia paniculata,SPECIES,Accepted
FR832569.2,Taxus baccata,25629,genomic DNA,597,Taxus baccata,306036-2,Taxaceae,Taxus,baccata,,Taxus baccata,SPECIES,Accepted
FR832570.2,Taxus baccata,25629,genomic DNA,597,Taxus baccata,306036-2,Taxaceae,Taxus,baccata,,Taxus baccata,SPECIES,Accepted
FR832571.2,Taxus baccata,25629,genomic DNA,597,Taxus baccata,306036-2,Taxaceae,Taxus,baccata,,Taxus baccata,SPECIES,Accepted
FR856865.1,Pisum sativum subsp. elatius,47742,genomic DNA,325,Pisum sativum subsp. elatius,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856866.1,Pisum fulvum,51020,genomic DNA,327,Pisum fulvum,514585-1,Fabaceae,Pisum,fulvum,,Pisum fulvum,SPECIES,Accepted
FR856867.1,Pisum abyssinicum,198035,genomic DNA,327,Pisum abyssinicum,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856868.1,Pisum abyssinicum,198035,genomic DNA,292,Pisum abyssinicum,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856869.1,Pisum sativum subsp. elatius,47742,genomic DNA,328,Pisum sativum subsp. elatius,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856870.1,Pisum fulvum,51020,genomic DNA,327,Pisum fulvum,514585-1,Fabaceae,Pisum,fulvum,,Pisum fulvum,SPECIES,Accepted
FR856871.1,Pisum fulvum,51020,genomic DNA,329,Pisum fulvum,514585-1,Fabaceae,Pisum,fulvum,,Pisum fulvum,SPECIES,Accepted
FR856872.1,Pisum sativum subsp. elatius,47742,genomic DNA,326,Pisum sativum subsp. elatius,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856873.1,Pisum fulvum,51020,genomic DNA,329,Pisum fulvum,514585-1,Fabaceae,Pisum,fulvum,,Pisum fulvum,SPECIES,Accepted
FR856876.1,Pisum sativum subsp. elatius,47742,genomic DNA,264,Pisum sativum subsp. elatius,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856878.1,Pisum sativum subsp. elatius,47742,genomic DNA,282,Pisum sativum subsp. elatius,60454055-2,Fabaceae,Pisum,sativum,,Pisum sativum,SPECIES,Synonym
FR856879.1,Lathyrus gmelinii,313087,genomic DNA,317,Lathyrus gmelinii,501729-1,Fabaceae,Lathyrus,gmelinii,,Lathyrus gmelinii,SPECIES,Accepted
FR865069.1,Inula hirta,557649,genomic DNA,488,Inula hirta,77178407-1,Asteraceae,Pentanema,britannicum,,Pentanema britannicum,SPECIES,Synonym
FR865070.1,Inula salicina,56531,genomic DNA,489,Inula salicina,225729-1,Asteraceae,Inula,acuminata,,Inula acuminata,SPECIES,Synonym
FR865071.1,Geranium sanguineum,70270,genomic DNA,449,Geranium sanguineum,322494-2,Geraniaceae,Geranium,sanguineum,,Geranium sanguineum,SPECIES,Accepted
FR865072.1,Carex humilis,140822,genomic DNA,356,Carex humilis,300229-1,Cyperaceae,Carex,humilis,,Carex humilis,SPECIES,Accepted
FR865073.1,Dactylis glomerata,4509,genomic DNA,607,Dactylis glomerata,397309-1,Poaceae,Dactylis,glomerata,,Dactylis glomerata,SPECIES,Accepted
FR865074.1,Teucrium montanum,1000430,genomic DNA,449,Teucrium montanum,460563-1,Lamiaceae,Teucrium,montanum,,Teucrium montanum,SPECIES,Accepted
FR865075.1,Asperula purpurea,35894,genomic DNA,353,Asperula purpurea,744143-1,Rubiaceae,Asperula,purpurea,,Asperula purpurea,SPECIES,Accepted
FR865076.1,Centaurea bracteata,1033235,genomic DNA,480,Centaurea bracteata,190069-1,Asteraceae,Centaurea,bracteata,,Centaurea bracteata,SPECIES,Unplaced
FR865077.1,Globularia cordifolia,69063,genomic DNA,365,Globularia cordifolia,813062-1,Plantaginaceae,Globularia,cordifolia,,Globularia cordifolia,SPECIES,Accepted
FR865078.1,Dorycnium pentaphyllum,181254,genomic DNA,383,Dorycnium pentaphyllum,503605-1,Fabaceae,Lotus,dorycnium,,Lotus dorycnium,SPECIES,Homotypic_Synonym
FR865079.1,Teucrium chamaedrys,53176,genomic DNA,478,Teucrium chamaedrys,460310-1,Lamiaceae,Teucrium,chamaedrys,,Teucrium chamaedrys,SPECIES,Accepted
FR865080.1,Origanum vulgare,39352,genomic DNA,439,Origanum vulgare,453395-1,Lamiaceae,Origanum,vulgare,,Origanum vulgare,SPECIES,Accepted
FR865081.1,Viola hirta,369421,genomic DNA,293,Viola hirta,868309-1,Violaceae,Viola,hirta,,Viola hirta,SPECIES,Accepted
FR865082.1,Pimpinella saxifraga,40959,genomic DNA,307,Pimpinella saxifraga,847025-1,Apiaceae,Pimpinella,saxifraga,,Pimpinella saxifraga,SPECIES,Accepted
FR865083.1,Bromus erectus,29666,genomic DNA,556,Bromus erectus,30195095-2,Poaceae,Bromus,erectus,,Bromus erectus,SPECIES,Accepted
FR865084.1,Hieracium murorum,212671,genomic DNA,486,Hieracium murorum,30008848-2,Asteraceae,Hieracium,murorum,,Hieracium murorum,SPECIES,Accepted
FR865085.1,Sesleria caerulea,58931,genomic DNA,589,Sesleria caerulea,1005554-2,Poaceae,Sesleria,caerulea,,Sesleria caerulea,SPECIES,Accepted
FR865086.1,Arabis hirsuta,78191,genomic DNA,506,Arabis hirsuta,278269-1,Brassicaceae,Arabis,hirsuta,,Arabis hirsuta,SPECIES,Accepted
FR865087.1,Campanula rotundifolia,239422,genomic DNA,370,Campanula rotundifolia,30036649-2,Campanulaceae,Campanula,rotundifolia,,Campanula rotundifolia,SPECIES,Accepted
FR865088.1,Viola reichenbachiana,97450,genomic DNA,353,Viola reichenbachiana,869090-1,Violaceae,Viola,reichenbachiana,,Viola reichenbachiana,SPECIES,Accepted
FR865089.1,Brachypodium rupestre,52143,genomic DNA,561,Brachypodium rupestre,393166-1,Poaceae,Brachypodium,pinnatum,,Brachypodium pinnatum,SPECIES,Synonym
FR865090.1,Hippocrepis emerus,72429,genomic DNA,300,Hippocrepis emerus,946593-1,Fabaceae,Hippocrepis,emerus,,Hippocrepis emerus,SPECIES,Accepted
FR865091.1,Prunella grandiflora,39356,genomic DNA,374,Prunella grandiflora,60464253-2,Lamiaceae,Prunella,grandiflora,,Prunella grandiflora,SPECIES,Accepted
FR865092.1,Corylus avellana,13451,genomic DNA,533,Corylus avellana,295446-1,Betulaceae,Corylus,avellana,,Corylus avellana,SPECIES,Accepted
FR865093.1,Aster amellus,72897,genomic DNA,310,Aster amellus,331070-2,Asteraceae,Aster,amellus,,Aster amellus,SPECIES,Accepted
FR865094.1,Helianthemum nummularium,478958,genomic DNA,335,Helianthemum nummularium,169032-1,Cistaceae,Helianthemum,nummularium,,Helianthemum nummularium,SPECIES,Accepted
FR865095.1,Anthericum liliago,51434,genomic DNA,344,Anthericum liliago,530479-1,Asparagaceae,Anthericum,liliago,,Anthericum liliago,SPECIES,Accepted
FR865096.1,Erica carnea,185769,genomic DNA,327,Erica carnea,332092-2,Ericaceae,Erica,carnea,,Erica carnea,SPECIES,Accepted
FR865097.1,Fumana procumbens,1033236,genomic DNA,340,Fumana procumbens,168610-1,Cistaceae,Fumana,procumbens,,Fumana procumbens,SPECIES,Accepted
FR865098.1,Leontodon hispidus,58660,genomic DNA,468,Leontodon hispidus,229358-1,Asteraceae,Leontodon,hispidus,,Leontodon hispidus,SPECIES,Accepted
FR865100.1,Carlina acaulis,538471,genomic DNA,478,Carlina acaulis,189213-1,Asteraceae,Carlina,acaulis,,Carlina acaulis,SPECIES,Accepted
FR865101.1,Pteridium aquilinum,32101,genomic DNA,528,Pteridium aquilinum,17210060-1,Dennstaedtiaceae,Pteridium,aquilinum,,Pteridium aquilinum,SPECIES,Accepted
FR865103.1,Polygala chamaebuxus,58882,genomic DNA,314,Polygala chamaebuxus,692612-1,Polygalaceae,Polygaloides,chamaebuxus,,Polygaloides chamaebuxus,SPECIES,Homotypic_Synonym
FR865104.1,Galium lucidum,29792,genomic DNA,378,Galium lucidum,750183-1,Rubiaceae,Galium,lucidum,,Galium lucidum,SPECIES,Accepted
FR865106.1,Mercurialis perennis,3985,genomic DNA,472,Mercurialis perennis,352211-1,Euphorbiaceae,Mercurialis,perennis,,Mercurialis perennis,SPECIES,Accepted
FR865108.1,Juniperus communis,58039,genomic DNA,478,Juniperus communis,30088655-2,Cupressaceae,Juniperus,communis,,Juniperus communis,SPECIES,Accepted
FR865109.1,Colchicum autumnale,45005,genomic DNA,285,Colchicum autumnale,533232-1,Colchicaceae,Colchicum,autumnale,,Colchicum autumnale,SPECIES,Accepted
FR865110.1,Prunus spinosa,114937,genomic DNA,361,Prunus spinosa,730297-1,Rosaceae,Prunus,spinosa,,Prunus spinosa,SPECIES,Accepted
FR865111.1,Sanguisorba minor,137456,genomic DNA,424,Sanguisorba minor,741394-1,Rosaceae,Sanguisorba,minor,,Sanguisorba minor,SPECIES,Accepted
FR865112.1,Dioscorea communis,55634,genomic DNA,391,Dioscorea communis,20005752-1,Dioscoreaceae,Dioscorea,communis,,Dioscorea communis,SPECIES,Accepted
FR865113.1,Tanacetum corymbosum,127994,genomic DNA,481,Tanacetum corymbosum,252281-1,Asteraceae,Tanacetum,corymbosum,,Tanacetum corymbosum,SPECIES,Accepted
GQ118858.1,Zygia sp. KGD-2009,668914,genomic DNA,467,Zygia sp. KGD-2009,23856-1,Fabaceae,Zygia,sp.,,Zygia sp.,GENUS,Accepted
GQ118878.1,Inga multijuga,486070,genomic DNA,498,Inga multijuga,128628-2,Fabaceae,Inga,multijuga,,Inga multijuga,SPECIES,Accepted
GQ118890.1,Inga vera,486092,genomic DNA,493,Inga vera,1006087-2,Fabaceae,Inga,vera,,Inga vera,SPECIES,Accepted
GQ163015.1,Momordica denudata,703362,genomic DNA,283,Momordica denudata,293435-1,Cucurbitaceae,Momordica,denudata,,Momordica denudata,SPECIES,Accepted
