Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
NC_034893.1,genomic DNA,152365,Linochilus frontinensis,77203476-1,Asteraceae,Linochilus,frontinensis,,False,Piofontia frontinensis,1716012
NC_034894.1,genomic DNA,151879,Linochilus jaramilloi,77203482-1,Asteraceae,Linochilus,jaramilloi,,False,Piofontia jaramilloi,587513
NC_034895.1,genomic DNA,152328,Linochilus inesianus,77203481-1,Asteraceae,Linochilus,inesianus,,False,Piofontia inesiana,587512
NC_034896.1,genomic DNA,152223,Linochilus heterophyllus,77203479-1,Asteraceae,Linochilus,heterophyllus,,False,Piofontia heterophylla,587511
NC_034897.1,genomic DNA,152249,Linochilus camargoanus,77203462-1,Asteraceae,Linochilus,camargoanus,,False,Piofontia camargoana,1716005
NC_034898.1,genomic DNA,151925,Aztecaster matudae,973774-1,Asteraceae,Aztecaster,matudae,,False,Aztecaster matudae,381977
NC_034899.1,genomic DNA,152290,Linochilus coriaceus,77203468-1,Asteraceae,Linochilus,coriaceus,,False,Piofontia coriacea,1716007
NC_034900.1,genomic DNA,152216,Linochilus rosmarinifolius,230916-1,Asteraceae,Linochilus,rosmarinifolius,,False,Piofontia rosmarinifolia,587520
NC_034901.1,genomic DNA,152006,Diplostephium goodspeedii,81812-2,Asteraceae,Diplostephium,goodspeedii,,False,Diplostephium goodspeedii,1716015
NC_034902.1,genomic DNA,152277,Linochilus apiculatus,77203460-1,Asteraceae,Linochilus,apiculatus,,False,Piofontia apiculata,1716001
NC_034903.1,genomic DNA,151555,Linochilus ochraceus,77203494-1,Asteraceae,Linochilus,ochraceus,,False,Piofontia ochracea,587515
NC_034908.1,genomic DNA,146859,Schisandra chinensis,60456331-2,Schisandraceae,Schisandra,chinensis,,False,Schisandra chinensis,50507
NC_034909.1,genomic DNA,160153,Pyrus pashia,731109-1,Rosaceae,Pyrus,pashia,,False,Pyrus pashia,470525
NC_034910.1,genomic DNA,160104,Carpinus tientaiensis,108004-1,Betulaceae,Carpinus,tientaiensis,,False,Carpinus tientaiensis,176861
NC_034913.1,genomic DNA,156484,Actinidia arguta,316460-1,Actinidiaceae,Actinidia,arguta,,False,Actinidia arguta,64478
NC_034914.1,genomic DNA,156964,Actinidia eriantha,828399-1,Actinidiaceae,Actinidia,eriantha,,False,Actinidia eriantha,165200
NC_034915.1,genomic DNA,157425,Actinidia kolomikta,828402-1,Actinidiaceae,Actinidia,kolomikta,,False,Actinidia kolomikta,165710
NC_034925.1,genomic DNA,152849,Phoebe chekiangensis,77067542-1,Lauraceae,Phoebe,chekiangensis,,False,Phoebe chekiangensis,610235
NC_034926.1,genomic DNA,152853,Phoebe bournei,468305-1,Lauraceae,Phoebe,bournei,,False,Phoebe bournei,460784
NC_034931.1,genomic DNA,147461,Champereia manillana,614476-1,Opiliaceae,Champereia,manillana,,False,Champereia manillana,50117
NC_034934.1,genomic DNA,157730,Hydrangea serrata,791682-1,Hydrangeaceae,Hydrangea,serrata,,False,Hydrangea serrata,859264
NC_034935.1,genomic DNA,157434,Hydrangea petiolaris,791656-1,Hydrangeaceae,Hydrangea,petiolaris,,False,Hydrangea petiolaris,349476
NC_034936.1,genomic DNA,157692,Hydrangea hydrangeoides,60470169-2,Hydrangeaceae,Hydrangea,hydrangeoides,,False,Hydrangea hydrangeoides,60130
NC_034940.1,genomic DNA,121117,Callitris rhomboidea,134233-3,Cupressaceae,Callitris,rhomboidea,,False,Callitris rhomboidea,13383
NC_034941.1,genomic DNA,131954,Taxodium distichum,30052311-2,Cupressaceae,Taxodium,distichum,,False,Taxodium distichum,28982
NC_034942.1,genomic DNA,133811,Dacrycarpus imbricatus,687949-1,Podocarpaceae,Dacrycarpus,imbricatus,,False,Dacrycarpus imbricatus,50181
NC_034943.1,genomic DNA,127211,Chamaecyparis formosensis,261835-1,Cupressaceae,Chamaecyparis,formosensis,,False,Chamaecyparis formosensis,187461
NC_034949.1,genomic DNA,152099,Chenopodium quinoa,165175-1,Amaranthaceae,Chenopodium,quinoa,,False,Chenopodium quinoa,63459
NC_034951.1,genomic DNA,155533,Solanum berthaultii,238416-2,Solanaceae,Solanum,berthaultii,,False,Solanum berthaultii,47970
NC_034952.1,genomic DNA,152049,Lagerstroemia subcostata,553622-1,Lythraceae,Lagerstroemia,subcostata,,False,Lagerstroemia subcostata,1418012
NC_034986.1,genomic DNA,159389,Adenanthera microsperma,472162-1,Fabaceae,Adenanthera,microsperma,,False,Adenanthera microsperma,714439
NC_034987.1,genomic DNA,174861,Albizia odoratissima,473340-1,Fabaceae,Albizia,odoratissima,,False,Albizia odoratissima,1191454
NC_034988.1,genomic DNA,176870,Archidendron lucyi,475075-1,Fabaceae,Archidendron,lucyi,,False,Archidendron lucyi,1055557
NC_034989.1,genomic DNA,161681,Parkia javanica,512208-1,Fabaceae,Parkia,javanica,,False,Parkia javanica,1914267
NC_034990.1,genomic DNA,162552,Piptadenia communis,514367-1,Fabaceae,Piptadenia,communis,,False,Piptadenia communis,1914268
NC_034992.1,genomic DNA,176717,Samanea saman,227126-2,Fabaceae,Samanea,saman,,False,Samanea saman,76910
NC_034996.1,genomic DNA,152446,Aster altaicus,180597-1,Asteraceae,Aster,altaicus,,False,Aster altaicus,983245
NC_034998.1,genomic DNA,160674,Pistacia vera,70280-1,Anacardiaceae,Pistacia,vera,,False,Pistacia vera,55513
NC_035000.1,genomic DNA,155687,Chionanthus retusus,608796-1,Oleaceae,Chionanthus,retusus,,False,Chionanthus retusus,126362
NC_035006.1,genomic DNA,159586,Myrica rubra,585602-1,Myricaceae,Myrica,rubra,,False,Morella rubra,262757
NC_035009.1,genomic DNA,138335,Kerriochloa siamensis,406426-1,Poaceae,Kerriochloa,siamensis,,False,Kerriochloa siamensis,796746
NC_035010.1,genomic DNA,138658,Diectomis fastigiata,398608-1,Poaceae,Diectomis,fastigiata,,False,Andropogon fastigiatus,330559
NC_035011.1,genomic DNA,139269,Hyparrhenia rufa,405583-1,Poaceae,Hyparrhenia,rufa,,False,Hyparrhenia rufa,167342
NC_035012.1,genomic DNA,138817,Andropogon chinensis,387663-1,Poaceae,Andropogon,chinensis,,False,Andropogon chinensis,1035921
NC_035013.1,genomic DNA,138027,Schizachyrium brevifolium,1126606-2,Poaceae,Schizachyrium,brevifolium,,False,Schizachyrium brevifolium,330585
NC_035014.1,genomic DNA,139742,Themeda arundinacea,424167-1,Poaceae,Themeda,arundinacea,,False,Themeda arundinacea,798343
NC_035015.1,genomic DNA,139272,Schizachyrium sanguineum,420951-1,Poaceae,Schizachyrium,sanguineum,,False,Schizachyrium sanguineum,330573
NC_035016.1,genomic DNA,138865,Themeda triandra,424213-1,Poaceae,Themeda,triandra,,False,Themeda triandra,106636
NC_035017.1,genomic DNA,140381,Arthraxon lanceolatus,390045-1,Poaceae,Arthraxon,lanceolatus,,False,Arthraxon lanceolatus,435775
NC_035018.1,genomic DNA,138271,Dichanthium sericeum,398571-1,Poaceae,Dichanthium,sericeum,,False,Dichanthium sericeum,330558
NC_035019.1,genomic DNA,138827,Themeda arguens,51375-3,Poaceae,Themeda,arguens,,False,Themeda arguens,2003520
NC_035020.1,genomic DNA,140629,Dimeria ornithopoda,399311-1,Poaceae,Dimeria,ornithopoda,,False,Dimeria ornithopoda,798294
NC_035021.1,genomic DNA,139589,Themeda villosa,424216-1,Poaceae,Themeda,villosa,,False,Themeda villosa,798344
NC_035022.1,genomic DNA,140765,Hemisorghum mekongense,404728-1,Poaceae,Hemisorghum,mekongense,,False,Hemisorghum mekongense,2003515
NC_035023.1,genomic DNA,138995,Eremochloa eriopoda,401741-1,Poaceae,Eremochloa,eriopoda,,False,Eremochloa eriopoda,2003513
NC_035024.1,genomic DNA,140474,Pseudosorghum fasciculare,418903-1,Poaceae,Pseudosorghum,fasciculare,,False,Pseudosorghum fasciculare,798271
NC_035025.1,genomic DNA,140120,Heteropogon triticeus,404828-1,Poaceae,Heteropogon,triticeus,,False,Heteropogon triticeus,798321
NC_035026.1,genomic DNA,140738,Pseudopogonatherum contortum,113497-3,Poaceae,Pseudopogonatherum,contortum,,False,Pseudopogonatherum contortum,798269
NC_035027.1,genomic DNA,134982,Heteropogon contortus,404772-1,Poaceae,Heteropogon,contortus,,False,Heteropogon contortus,79849
NC_035028.1,genomic DNA,138970,Eremochloa ciliaris,401739-1,Poaceae,Eremochloa,ciliaris,,False,Eremochloa ciliaris,2003512
NC_035029.1,genomic DNA,138519,Schizachyrium exile,420889-1,Poaceae,Schizachyrium,exile,,False,Schizachyrium exile,1564046
NC_035030.1,genomic DNA,138738,Andropogon abyssinicus,387425-1,Poaceae,Andropogon,abyssinicus,,False,Andropogon abyssinicus,2003509
NC_035031.1,genomic DNA,140642,Eulalia siamensis,402193-1,Poaceae,Eulalia,siamensis,,False,Eulalia siamensis,798338
NC_035032.1,genomic DNA,139274,Schizachyrium scoparium,420956-1,Poaceae,Schizachyrium,scoparium,,False,Schizachyrium scoparium,79855
NC_035033.1,genomic DNA,140355,Parahyparrhenia siamensis,413697-1,Poaceae,Parahyparrhenia,siamensis,,False,Parahyparrhenia siamensis,2003517
NC_035034.1,genomic DNA,139971,Chrysopogon zizanioides,396213-1,Poaceae,Chrysopogon,zizanioides,,False,Chrysopogon zizanioides,167337
NC_035035.1,genomic DNA,140034,Chrysopogon gryllus,396147-1,Poaceae,Chrysopogon,gryllus,,False,Chrysopogon gryllus,79832
NC_035036.1,genomic DNA,140801,Rottboellia helferi,419675-1,Poaceae,Rottboellia,helferi,,False,Mnesithea helferi,2003516
NC_035037.1,genomic DNA,139175,Hyparrhenia diplandra,405503-1,Poaceae,Hyparrhenia,diplandra,,False,Hyparrhenia diplandra,798322
NC_035038.1,genomic DNA,140898,Andropogon burmanicus,387620-1,Poaceae,Andropogon,burmanicus,,False,Andropogon burmanicus,2003510
NC_035039.1,genomic DNA,139205,Schizachyrium spicatum,229378-2,Poaceae,Schizachyrium,spicatum,,False,Schizachyrium spicatum,2003519
NC_035040.1,genomic DNA,139715,Cymbopogon flexuosus,396927-1,Poaceae,Cymbopogon,flexuosus,,False,Cymbopogon flexuosus,79835
NC_035041.1,genomic DNA,139098,Andropogon distachyos,387783-1,Poaceae,Andropogon,distachyos,,False,Andropogon distachyos,106635
NC_035042.1,genomic DNA,139668,Garnotia thailandica,403909-1,Poaceae,Garnotia,thailandica,,False,Garnotia thailandica,2003514
NC_035043.1,genomic DNA,138555,Schizachyrium tenerum,420965-1,Poaceae,Schizachyrium,tenerum,,False,Schizachyrium tenerum,330575
NC_035044.1,genomic DNA,140892,Polytoca digitata,418751-1,Poaceae,Polytoca,digitata,,False,Polytoca digitata,798336
NC_035045.1,genomic DNA,139759,Schizachyrium salzmannii,229347-2,Poaceae,Schizachyrium,salzmannii,,False,Schizachyrium imberbe,2003518
NC_035046.1,genomic DNA,139817,Germainia capitata,403970-1,Poaceae,Germainia,capitata,,False,Germainia capitata,798273
NC_035047.1,genomic DNA,140712,Chrysopogon orientalis,396165-1,Poaceae,Chrysopogon,orientalis,,False,Chrysopogon orientalis,798289
NC_035048.1,genomic DNA,140507,Arthraxon hispidus,390037-1,Poaceae,Arthraxon,hispidus,,False,Arthraxon hispidus,330157
NC_035049.1,genomic DNA,141091,Eulaliopsis binata,402211-1,Poaceae,Eulaliopsis,binata,,False,Eulaliopsis binata,673200
NC_035050.1,genomic DNA,139858,Arthraxon microphyllus,390056-1,Poaceae,Arthraxon,microphyllus,,False,Arthraxon microphyllus,2003511
NC_035051.1,genomic DNA,139629,Garnotia tenella,403906-1,Poaceae,Garnotia,tenella,,False,Garnotia tenella,798316
NC_035053.1,genomic DNA,158625,Hansenia weberbaueriana,77091722-1,Apiaceae,Hansenia,weberbaueriana,,False,Hansenia weberbaueriana,54724
NC_035054.1,genomic DNA,159287,Hansenia forbesii,77091718-1,Apiaceae,Hansenia,forbesii,,False,Hansenia forbesii,165499
NC_035055.1,genomic DNA,157292,Hansenia oviformis,77091720-1,Apiaceae,Hansenia,oviformis,,False,Hansenia oviformis,1978917
NC_035056.1,genomic DNA,159505,Hansenia forrestii,77091719-1,Apiaceae,Hansenia,forrestii,,False,Hansenia forrestii,1050841
NC_035067.1,genomic DNA,121224,Abies sibirica,261635-1,Pinaceae,Abies,sibirica,,False,Abies sibirica,97169
NC_035069.1,genomic DNA,119758,Pinus sylvestris,263353-1,Pinaceae,Pinus,sylvestris,,False,Pinus sylvestris,3349
NC_035140.1,genomic DNA,156830,Cistanthe longiscapa,962648-1,Montiaceae,Cistanthe,longiscapa,,False,Cistanthe longiscapa,339208
NC_035143.1,genomic DNA,152407,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,False,Ocimum basilicum,39350
NC_035154.1,genomic DNA,148778,Dendrobium moniliforme,628025-1,Orchidaceae,Dendrobium,moniliforme,,False,Dendrobium moniliforme,142614
NC_035224.1,genomic DNA,141176,Saccharum officinarum,419977-1,Poaceae,Saccharum,officinarum,,False,Saccharum officinarum,4547
NC_035225.1,genomic DNA,152320,Silene wilfordii,992179-1,Caryophyllaceae,Silene,wilfordii,,False,Silene wilfordii,1850527
NC_035226.1,genomic DNA,150224,Silene capitata,157020-1,Caryophyllaceae,Silene,capitata,,False,Silene capitata,1850528
NC_035228.1,genomic DNA,131274,Caragana kozlowii,483848-1,Fabaceae,Caragana,kozlowii,,False,Caragana kozlowii,1641311
NC_035229.1,genomic DNA,129331,Caragana korshinskii,483847-1,Fabaceae,Caragana,korshinskii,,False,Caragana korshinskii,220689
NC_035233.1,genomic DNA,153995,Salvia japonica,927262-1,Lamiaceae,Salvia,japonica,,False,Salvia japonica,395340
NC_035234.1,genomic DNA,163121,Abelmoschus esculentus,558006-1,Malvaceae,Abelmoschus,esculentus,,False,Abelmoschus esculentus,455045
NC_035235.1,genomic DNA,172199,Anacardium occidentale,319068-2,Anacardiaceae,Anacardium,occidentale,,False,Anacardium occidentale,171929
NC_035236.1,genomic DNA,152766,Cinnamomum verum,463752-1,Lauraceae,Cinnamomum,verum,,False,Cinnamomum verum,128608
NC_035237.1,genomic DNA,160602,Ficus carica,852556-1,Moraceae,Ficus,carica,,False,Ficus carica,3494
NC_035238.1,genomic DNA,162524,Litchi chinensis,783539-1,Sapindaceae,Litchi,chinensis,,False,Litchi chinensis,151069
NC_035239.1,genomic DNA,157780,Mangifera indica,69913-1,Anacardiaceae,Mangifera,indica,,False,Mangifera indica,29780
NC_035240.1,genomic DNA,158633,Punica granatum,554129-1,Lythraceae,Punica,granatum,,False,Punica granatum,22663
NC_035241.1,genomic DNA,134393,Drosera erythrorhiza,321833-1,Droseraceae,Drosera,erythrorhiza,,False,Drosera erythrorhiza,2005751
NC_035320.1,genomic DNA,150165,Vanilla aphylla,661147-1,Orchidaceae,Vanilla,aphylla,,False,Vanilla aphylla,53061
NC_035321.1,genomic DNA,150767,Dendrobium polyanthum,628303-1,Orchidaceae,Dendrobium,polyanthum,,False,Dendrobium primulinum,169180
NC_035322.1,genomic DNA,151524,Dendrobium aphyllum,626817-1,Orchidaceae,Dendrobium,aphyllum,,False,Dendrobium aphyllum,154290
NC_035323.1,genomic DNA,151830,Dendrobium brymerianum,626977-1,Orchidaceae,Dendrobium,brymerianum,,False,Dendrobium brymerianum,179350
NC_035324.1,genomic DNA,151565,Dendrobium denneanum,627281-1,Orchidaceae,Dendrobium,denneanum,,False,Dendrobium denneanum,181002
NC_035325.1,genomic DNA,151945,Dendrobium devonianum,627290-1,Orchidaceae,Dendrobium,devonianum,,False,Dendrobium devonianum,142612
NC_035326.1,genomic DNA,151890,Dendrobium falconeri,627407-1,Orchidaceae,Dendrobium,falconeri,,False,Dendrobium falconeri,172645
NC_035327.1,genomic DNA,151829,Dendrobium gratiosissimum,627561-1,Orchidaceae,Dendrobium,gratiosissimum,,False,Dendrobium gratiosissimum,142613
NC_035328.1,genomic DNA,151939,Dendrobium hercoglossum,627607-1,Orchidaceae,Dendrobium,hercoglossum,,False,Dendrobium hercoglossum,161867
NC_035329.1,genomic DNA,151788,Dendrobium wardianum,628942-1,Orchidaceae,Dendrobium,wardianum,,False,Dendrobium wardianum,172646
NC_035330.1,genomic DNA,152080,Dendrobium wilsonii,628962-1,Orchidaceae,Dendrobium,wilsonii,,False,Dendrobium wilsonii,363749
NC_035331.1,genomic DNA,151717,Dendrobium crepidatum,627186-1,Orchidaceae,Dendrobium,crepidatum,,True,Dendrobium crepidatum,154289
NC_035332.1,genomic DNA,151104,Dendrobium salaccense,628528-1,Orchidaceae,Dendrobium,salaccense,,False,Dendrobium salaccense,179356
NC_035333.1,genomic DNA,151829,Dendrobium spatella,628635-1,Orchidaceae,Dendrobium,spatella,,False,Dendrobium spatella,1354201
NC_035334.1,genomic DNA,150073,Dendrobium parciflorum,628209-1,Orchidaceae,Dendrobium,parciflorum,,False,Dendrobium parciflorum,467197
NC_035335.1,genomic DNA,151850,Dendrobium henryi,627603-1,Orchidaceae,Dendrobium,henryi,,False,Dendrobium henryi,467198
NC_035336.1,genomic DNA,151790,Dendrobium chrysanthum,627085-1,Orchidaceae,Dendrobium,chrysanthum,,False,Dendrobium chrysanthum,154291
NC_035337.1,genomic DNA,151717,Dendrobium jenkinsii,627723-1,Orchidaceae,Dendrobium,jenkinsii,,False,Dendrobium jenkinsii,161868
NC_035338.1,genomic DNA,151812,Dendrobium lohohense,627878-1,Orchidaceae,Dendrobium,lohohense,,False,Dendrobium lohohense,161870
NC_035339.1,genomic DNA,151689,Dendrobium parishii,628214-1,Orchidaceae,Dendrobium,parishii,,False,Dendrobium parishii,469460
NC_035340.1,genomic DNA,152026,Dendrobium ellipsophyllum,627349-1,Orchidaceae,Dendrobium,ellipsophyllum,,False,Dendrobium ellipsophyllum,179353
NC_035341.1,genomic DNA,152052,Dendrobium xichouense,904015-1,Orchidaceae,Dendrobium,xichouense,,False,Dendrobium xichouense,1354204
NC_035343.1,genomic DNA,151294,Dendrobium exile,627394-1,Orchidaceae,Dendrobium,exile,,False,Dendrobium exile,179354
NC_035344.1,genomic DNA,152108,Dendrobium fanjingshanense,20000129-1,Orchidaceae,Dendrobium,fanjingshanense,,False,Dendrobium fanjingshanense,1354197
NC_035347.1,genomic DNA,175646,Faidherbia albida,494764-1,Fabaceae,Faidherbia,albida,,False,Faidherbia albida,138055
NC_035348.1,genomic DNA,176692,Pararchidendron pruinosum,912942-1,Fabaceae,Pararchidendron,pruinosum,,False,Pararchidendron pruinosum,138062
NC_035353.1,genomic DNA,164283,Sclerotheca longistigmata,145047-1,Campanulaceae,Sclerotheca,longistigmata,,False,Sclerotheca longistigmata,360839
NC_035354.1,genomic DNA,166198,Centropogon granulosus,141503-1,Campanulaceae,Centropogon,granulosus,,False,Centropogon granulosus,434389
NC_035355.1,genomic DNA,164756,Clermontia fauriei,141722-1,Campanulaceae,Clermontia,fauriei,,False,Clermontia fauriei,138094
NC_035356.1,genomic DNA,163907,Cyanea leptostegia,141955-1,Campanulaceae,Cyanea,leptostegia,,False,Cyanea leptostegia,138111
NC_035357.1,genomic DNA,166126,Dialypetalum floribundum,142175-1,Campanulaceae,Dialypetalum,floribundum,,False,Dialypetalum floribundum,2010879
NC_035358.1,genomic DNA,164976,Diastatea micrantha,79151-2,Campanulaceae,Diastatea,micrantha,,False,Diastatea micrantha,368674
NC_035359.1,genomic DNA,136733,Downingia cuspidata,142433-1,Campanulaceae,Downingia,cuspidata,,False,Downingia cuspidata,101772
NC_035360.1,genomic DNA,132649,Downingia elegans,142434-1,Campanulaceae,Downingia,elegans,,False,Downingia elegans,104522
NC_035361.1,genomic DNA,165100,Hippobroma longiflora,1133957-2,Campanulaceae,Hippobroma,longiflora,,False,Hippobroma longiflora,368676
NC_035362.1,genomic DNA,165876,Isotoma tridens,1006668-1,Campanulaceae,Isotoma,tridens,,False,Hypsela tridens,2010880
NC_035363.1,genomic DNA,152505,Isotoma hypocrateriformis,142615-1,Campanulaceae,Isotoma,hypocrateriformis,,False,Isotoma hypocrateriformis,2010881
NC_035364.1,genomic DNA,146691,Legenere valdiviana,137043-2,Campanulaceae,Legenere,valdiviana,,False,Legenere valdiviana,2010882
NC_035365.1,genomic DNA,163902,Lobelia aberdarica,142907-1,Campanulaceae,Lobelia,aberdarica,,False,Lobelia aberdarica,104597
NC_035366.1,genomic DNA,164047,Lobelia acrochila,971848-1,Campanulaceae,Lobelia,acrochila,,False,Lobelia acrochila,2010883
NC_035367.1,genomic DNA,164856,Lobelia angulata,142946-1,Campanulaceae,Lobelia,angulata,,False,Pratia angulata,85225
NC_035368.1,genomic DNA,164051,Lobelia bambuseti,142979-1,Campanulaceae,Lobelia,bambuseti,,False,Lobelia bambuseti,1715887
NC_035369.1,genomic DNA,164299,Lobelia bequaertii,142995-1,Campanulaceae,Lobelia,bequaertii,,False,Lobelia bequaertii,2010884
NC_035370.1,genomic DNA,164396,Lobelia chinensis,143086-1,Campanulaceae,Lobelia,chinensis,,False,Lobelia chinensis,368926
NC_035371.1,genomic DNA,165416,Lobelia columnaris,143110-1,Campanulaceae,Lobelia,columnaris,,False,Lobelia columnaris,360851
NC_035372.1,genomic DNA,166287,Lobelia davidii,143153-1,Campanulaceae,Lobelia,davidii,,False,Lobelia davidii,1715890
NC_035373.1,genomic DNA,165003,Lobelia nicotianifolia,60470510-2,Campanulaceae,Lobelia,nicotianifolia,,False,Lobelia doniana,1715891
NC_035374.1,genomic DNA,164477,Lobelia giberroa,143304-1,Campanulaceae,Lobelia,giberroa,,False,Lobelia gibberoa,360853
NC_035375.1,genomic DNA,165063,Lobelia × kauaensis,143443-1,Campanulaceae,Lobelia,kauaensis,,False,Lobelia kauaensis,360856
NC_035376.1,genomic DNA,163845,Lobelia lukwangulensis,143517-1,Campanulaceae,Lobelia,lukwangulensis,,False,Lobelia lukwangulensis,2010892
NC_035377.1,genomic DNA,165413,Lobelia melliana,143541-1,Campanulaceae,Lobelia,melliana,,False,Lobelia melliana,1715894
NC_035378.1,genomic DNA,164214,Lobelia mildbraedii,143552-1,Campanulaceae,Lobelia,mildbraedii,,False,Lobelia mildbraedii,2010893
NC_035379.1,genomic DNA,164719,Lobelia muscoides,143582-1,Campanulaceae,Lobelia,muscoides,,False,Lobelia muscoides,2010895
NC_035380.1,genomic DNA,163898,Lobelia niihauensis,143596-1,Campanulaceae,Lobelia,niihauensis,,False,Lobelia niihauensis,360857
NC_035381.1,genomic DNA,165428,Lobelia nummularia,143608-1,Campanulaceae,Lobelia,nummularia,,False,Pratia nummularia,368691
NC_035382.1,genomic DNA,163974,Lobelia organensis,143636-1,Campanulaceae,Lobelia,organensis,,False,Lobelia organensis,360858
NC_035383.1,genomic DNA,165035,Lobelia petiolata,143679-1,Campanulaceae,Lobelia,petiolata,,False,Lobelia petiolata,360859
NC_035384.1,genomic DNA,164254,Lobelia rhynchopetalum,143774-1,Campanulaceae,Lobelia,rhynchopetalum,,False,Lobelia rhynchopetalum,649679
NC_035385.1,genomic DNA,163440,Lobelia ritabeaniana,971854-1,Campanulaceae,Lobelia,ritabeaniana,,False,Lobelia ritabeaniana,2010896
NC_035386.1,genomic DNA,163423,Lobelia sancta,143807-1,Campanulaceae,Lobelia,sancta,,False,Lobelia sancta,2010897
NC_035387.1,genomic DNA,166534,Lobelia seguinii,143837-1,Campanulaceae,Lobelia,seguinii,,False,Lobelia seguinii,1068520
NC_035388.1,genomic DNA,165656,Lobelia sessilifolia,143849-1,Campanulaceae,Lobelia,sessilifolia,,False,Lobelia sessilifolia,1049788
NC_035389.1,genomic DNA,164767,Lobelia stuhlmannii,143898-1,Campanulaceae,Lobelia,stuhlmannii,,False,Lobelia stuhlmannii,2010902
NC_035390.1,genomic DNA,164360,Lobelia telekii,143926-1,Campanulaceae,Lobelia,telekii,,False,Lobelia telekii,1715899
NC_035391.1,genomic DNA,164158,Lobelia thapsoidea,143939-1,Campanulaceae,Lobelia,thapsoidea,,False,Lobelia thapsoidea,1715900
NC_035392.1,genomic DNA,163628,Lobelia udzungwensis,77061464-1,Campanulaceae,Lobelia,udzungwensis,,False,Lobelia udzungwensis,2010903
NC_035393.1,genomic DNA,165407,Lobelia urens,143992-1,Campanulaceae,Lobelia,urens,,False,Lobelia urens,1053365
NC_035394.1,genomic DNA,164711,Lobelia wollastonii,144035-1,Campanulaceae,Lobelia,wollastonii,,False,Lobelia wollastonii,2010904
NC_035395.1,genomic DNA,163791,Lobelia yuccoides,144039-1,Campanulaceae,Lobelia,yuccoides,,False,Lobelia yuccoides,360861
NC_035396.1,genomic DNA,163990,Sclerotheca viridiflora,145051-1,Campanulaceae,Sclerotheca,viridiflora,,False,Sclerotheca viridiflora,2010906
NC_035397.1,genomic DNA,164930,Solenopsis bivonae,1001080-1,Campanulaceae,Solenopsis,bivonae,,False,Solenopsis bivonae,2010907
NC_035398.1,genomic DNA,162887,Trematolobelia kauaiensis,145529-1,Campanulaceae,Trematolobelia,kauaiensis,,False,Trematolobelia kauaiensis,360866
NC_035413.1,genomic DNA,160994,Platycarya strobilacea,442460-1,Juglandaceae,Platycarya,strobilacea,,False,Platycarya strobilacea,91224
NC_035414.1,genomic DNA,128744,Viscum coloratum,552303-1,Santalaceae,Viscum,coloratum,,False,Viscum coloratum,159976
NC_035415.1,genomic DNA,136810,Drosera regia,321953-1,Droseraceae,Drosera,regia,,False,Drosera regia,4371
NC_035416.1,genomic DNA,141568,Aldrovanda vesiculosa,321755-1,Droseraceae,Aldrovanda,vesiculosa,,False,Aldrovanda vesiculosa,173386
NC_035417.1,genomic DNA,117589,Dionaea muscipula,275898-2,Droseraceae,Dionaea,muscipula,,False,Dionaea muscipula,4362
NC_035418.1,genomic DNA,158725,Sinojackia xylocarpa,826672-1,Styracaceae,Sinojackia,xylocarpa,,False,Sinojackia xylocarpa,168123
NC_035492.1,genomic DNA,138961,Themeda quadrivalvis,424206-1,Poaceae,Themeda,quadrivalvis,,False,Themeda quadrivalvis,167343
NC_035499.1,genomic DNA,164488,Zantedeschia aethiopica,89403-1,Araceae,Zantedeschia,aethiopica,,False,Zantedeschia aethiopica,69721
NC_035500.1,genomic DNA,148592,Fragaria nipponica,725065-1,Rosaceae,Fragaria,nipponica,,False,Fragaria nipponica,101012
NC_035501.1,genomic DNA,147835,Fragaria orientalis,725074-1,Rosaceae,Fragaria,orientalis,,False,Fragaria orientalis,101013
NC_035511.1,genomic DNA,153907,Hesperis matronalis,285087-1,Brassicaceae,Hesperis,matronalis,,False,Hesperis matronalis,264418
NC_035512.1,genomic DNA,154415,Hesperis sylvestris,285257-1,Brassicaceae,Hesperis,sylvestris,,False,Hesperis sylvestris,2017959
NC_035513.1,genomic DNA,152542,Lobularia libyca,286624-1,Brassicaceae,Lobularia,libyca,,False,Lobularia libyca,358669
NC_035514.1,genomic DNA,154184,Morettia canescens,287129-1,Brassicaceae,Morettia,canescens,,False,Morettia canescens,369024
NC_035515.1,genomic DNA,154243,Braya humilis,279621-1,Brassicaceae,Braya,humilis,,False,Braya humilis,98020
NC_035516.1,genomic DNA,141419,Cressa cretica,267234-1,Convolvulaceae,Cressa,cretica,,False,Cressa cretica,1465651
NC_035517.1,genomic DNA,139190,Alloeochaete namuliensis,386983-1,Poaceae,Alloeochaete,namuliensis,,False,Alloeochaete namuliensis,2017767
NC_035518.1,genomic DNA,136079,Alloeochaete oreogena,386984-1,Poaceae,Alloeochaete,oreogena,,False,Alloeochaete oreogena,2017768
NC_035519.1,genomic DNA,139395,Alloeochaete ulugurensis,386985-1,Poaceae,Alloeochaete,ulugurensis,,False,Alloeochaete uluguruensis,2017769
NC_035520.1,genomic DNA,135994,Amphipogon caricinus,387322-1,Poaceae,Amphipogon,caricinus,,False,Amphipogon caricinus,65968
